Designator,Mid X,Mid Y,Rotation,Layer
U3_7,50.8975,-91.4557,270.0,top
U3_6,110.0475,-91.4557,270.0,top
U3_5,169.1975,-91.4557,270.0,top
U3_4,110.0475,-26.1557,270.0,top
U3_3,169.1975,-26.1557,270.0,top
U3_2,50.8975,-156.7557,270.0,top
U3,50.8975,-26.1557,270.0,top
U4_9,92.287,-62.4781,270.0,top
U4_8,151.437,-62.4781,270.0,top
U4_7,92.287,-193.0781,270.0,top
U4_6,92.287,-127.7781,270.0,top
U4_5,33.137,-193.0781,270.0,top
U4_4,33.137,-127.7781,270.0,top
U4_3,151.437,-193.0781,270.0,top
U4_2,151.437,-127.7781,270.0,top
U4,33.137,-62.4781,270.0,top
U5_9,17.2012,-169.1228,0.0,top
U5_8,76.3512,-103.8228,0.0,top
U5_7,17.2012,-103.8228,0.0,top
U5_6,76.3512,-169.1228,0.0,top
U5_5,135.5012,-169.1228,0.0,top
U5_4,135.5012,-38.5228,0.0,top
U5_3,76.3512,-38.5228,0.0,top
U5_2,17.2012,-38.5228,0.0,top
U5,135.5012,-103.8228,0.0,top
U6_9,71.98,-116.99,90.0,top
U6_8,71.98,-51.69,90.0,top
U6_7,12.83,-51.69,90.0,top
U6_6,71.98,-182.29,90.0,top
U6_5,131.13,-116.99,90.0,top
U6_4,131.13,-51.69,90.0,top
U6_3,131.13,-182.29,90.0,top
